               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.024247,           0.0062307,             0.03937,              0.6924,             0.92632,             0.95124,             0.75125,             0.01733,           0.0029333,            0.034137,           0.0074108,           0.0074108,           0.0074108
                  36,            0.025121,           0.0063857,            0.038243,             0.69703,             0.90846,             0.92222,             0.71772,            0.021582,           0.0029635,            0.033333,           0.0073346,           0.0073346,           0.0073346
                  37,            0.024229,           0.0061128,            0.038016,              0.7049,             0.82259,               0.851,             0.56437,            0.022693,           0.0033342,            0.037685,           0.0072585,           0.0072585,           0.0072585
                  38,            0.024514,           0.0061609,            0.036489,             0.81118,              0.9171,             0.93226,             0.74272,            0.017348,           0.0028845,            0.031373,           0.0071823,           0.0071823,           0.0071823
                  39,            0.023539,           0.0063378,            0.034494,             0.79065,               0.959,              0.9435,             0.74598,            0.017966,            0.002713,            0.028208,           0.0071062,           0.0071062,           0.0071062
                  40,             0.02538,           0.0066407,            0.033066,             0.79703,             0.94345,             0.94849,             0.78962,            0.016582,           0.0028188,            0.025537,             0.00703,             0.00703,             0.00703
                  41,            0.024595,           0.0061883,            0.031408,             0.82085,             0.99638,               0.995,             0.77576,            0.017967,           0.0028615,            0.023352,           0.0069538,           0.0069538,           0.0069538
                  42,            0.024803,           0.0064724,            0.029231,             0.89241,             0.95463,             0.94647,             0.74281,            0.018109,           0.0030709,            0.022472,           0.0068777,           0.0068777,           0.0068777
                  43,            0.024708,           0.0060229,            0.029948,             0.87416,              0.9629,             0.95038,             0.73353,            0.018601,           0.0030661,            0.021281,           0.0068015,           0.0068015,           0.0068015
                  44,            0.025902,           0.0062391,            0.026529,               0.903,             0.99883,               0.995,              0.6848,            0.024054,           0.0030274,            0.019669,           0.0067254,           0.0067254,           0.0067254
                  45,            0.025241,           0.0061369,            0.027185,             0.94504,             0.97039,               0.995,             0.79946,            0.018992,           0.0030009,            0.017891,           0.0066492,           0.0066492,           0.0066492
                  46,            0.024811,           0.0065432,            0.023837,             0.89074,             0.97698,               0.995,             0.79221,             0.01765,           0.0026005,            0.016193,           0.0065731,           0.0065731,           0.0065731
                  47,            0.023571,           0.0061951,            0.022638,             0.91729,             0.97308,               0.995,             0.82756,            0.016424,           0.0025512,            0.015077,           0.0064969,           0.0064969,           0.0064969
                  48,            0.023457,           0.0058784,            0.021428,             0.95955,             0.99016,               0.995,             0.83858,            0.015546,           0.0025381,            0.013216,           0.0064208,           0.0064208,           0.0064208
                  49,            0.023541,           0.0057952,            0.019825,             0.94562,                   1,               0.995,             0.79771,            0.019483,           0.0025351,            0.011762,           0.0063446,           0.0063446,           0.0063446
                  50,            0.023984,            0.006192,            0.019567,             0.83804,             0.97033,             0.98865,             0.79215,            0.019999,           0.0026942,            0.012924,           0.0062685,           0.0062685,           0.0062685
                  51,            0.023946,           0.0062066,            0.019168,             0.91724,             0.96108,               0.995,             0.76745,              0.0187,           0.0025923,            0.014381,           0.0061923,           0.0061923,           0.0061923
                  52,            0.024241,           0.0062489,            0.017911,             0.95208,                   1,               0.995,             0.80263,            0.016775,           0.0025331,           0.0085534,           0.0061162,           0.0061162,           0.0061162
                  53,            0.023823,           0.0060016,            0.015986,             0.96924,                   1,               0.995,             0.82496,            0.017738,           0.0028046,           0.0070222,             0.00604,             0.00604,             0.00604
                  54,            0.023475,           0.0061191,            0.016369,             0.95395,             0.98836,               0.995,             0.67765,             0.02765,           0.0030135,           0.0077134,           0.0059638,           0.0059638,           0.0059638
                  55,            0.022619,           0.0059019,            0.015614,             0.94665,             0.98731,               0.995,             0.81304,            0.017431,           0.0026712,           0.0080403,           0.0058877,           0.0058877,           0.0058877
                  56,            0.022931,           0.0058499,            0.015566,             0.97689,                   1,               0.995,             0.83442,            0.016318,           0.0024177,            0.006379,           0.0058115,           0.0058115,           0.0058115
                  57,             0.02292,           0.0058629,            0.014147,             0.97136,                   1,               0.995,             0.79683,             0.01932,           0.0026084,           0.0055628,           0.0057354,           0.0057354,           0.0057354
                  58,            0.023783,           0.0058071,            0.014449,             0.94477,                   1,               0.995,             0.76878,            0.017276,           0.0022959,           0.0063114,           0.0056592,           0.0056592,           0.0056592
                  59,            0.021746,           0.0054695,            0.012907,              0.9773,                   1,               0.995,             0.78101,            0.018575,            0.002527,            0.005166,           0.0055831,           0.0055831,           0.0055831
                  60,            0.022144,           0.0059057,            0.012479,             0.96911,              0.9899,               0.995,             0.85806,            0.015051,           0.0024488,            0.005208,           0.0055069,           0.0055069,           0.0055069
                  61,            0.022037,           0.0057626,            0.014581,             0.95504,              0.9944,               0.995,             0.85478,            0.015062,           0.0023717,           0.0054617,           0.0054308,           0.0054308,           0.0054308
                  62,            0.022205,           0.0058484,            0.012452,             0.97081,             0.98964,               0.995,             0.83832,            0.016726,           0.0026376,           0.0043634,           0.0053546,           0.0053546,           0.0053546
                  63,            0.021038,           0.0058601,            0.012124,             0.97435,                   1,               0.995,             0.84445,            0.014993,           0.0022292,           0.0043711,           0.0052785,           0.0052785,           0.0052785
                  64,            0.021677,           0.0057835,            0.013157,             0.97543,                   1,               0.995,             0.82793,            0.018569,           0.0026268,           0.0040199,           0.0052023,           0.0052023,           0.0052023
                  65,            0.020614,           0.0057192,            0.013863,             0.96023,             0.91368,               0.995,             0.87943,            0.015675,           0.0021966,           0.0082609,           0.0051262,           0.0051262,           0.0051262
                  66,            0.021319,           0.0056611,            0.012706,              0.9734,                   1,               0.995,             0.80191,            0.017904,           0.0022714,           0.0037022,             0.00505,             0.00505,             0.00505
                  67,            0.021488,           0.0055248,            0.012771,              0.9757,             0.99663,               0.995,             0.80743,            0.016503,           0.0024852,           0.0040945,           0.0049738,           0.0049738,           0.0049738
                  68,            0.020402,           0.0057135,            0.011355,             0.97554,             0.99336,               0.995,             0.83927,             0.01455,           0.0022889,           0.0041985,           0.0048977,           0.0048977,           0.0048977
                  69,            0.020532,           0.0054645,            0.011578,             0.88613,             0.88859,             0.95648,             0.82663,            0.014563,           0.0022334,            0.018023,           0.0048215,           0.0048215,           0.0048215
                  70,            0.020196,           0.0053793,            0.011068,             0.94048,             0.93892,             0.96949,             0.81609,            0.015342,           0.0022698,            0.008035,           0.0047454,           0.0047454,           0.0047454
                  71,            0.019901,           0.0053738,            0.010378,             0.98328,                   1,               0.995,             0.84569,            0.015698,           0.0024059,           0.0034371,           0.0046692,           0.0046692,           0.0046692
                  72,            0.019584,           0.0052863,           0.0098162,             0.98439,                   1,               0.995,               0.877,             0.01352,           0.0023343,           0.0033988,           0.0045931,           0.0045931,           0.0045931
                  73,            0.019837,           0.0055894,            0.011016,             0.98131,                   1,               0.995,             0.86506,            0.015335,           0.0023827,           0.0032667,           0.0045169,           0.0045169,           0.0045169
                  74,            0.019987,           0.0054974,           0.0095105,             0.98144,                   1,               0.995,             0.86446,            0.014358,           0.0023535,           0.0031281,           0.0044408,           0.0044408,           0.0044408
                  75,            0.018982,           0.0053098,            0.012912,             0.97593,                   1,               0.995,             0.87855,            0.012841,           0.0026229,           0.0033727,           0.0043646,           0.0043646,           0.0043646
                  76,            0.018668,           0.0052456,           0.0096263,             0.96161,             0.98741,               0.995,             0.86583,            0.014333,           0.0022331,           0.0040453,           0.0042885,           0.0042885,           0.0042885
                  77,            0.018657,           0.0053526,             0.01047,             0.97541,                   1,               0.995,             0.88599,            0.012933,           0.0020812,           0.0029101,           0.0042123,           0.0042123,           0.0042123
                  78,            0.019019,           0.0053303,            0.010774,             0.86721,             0.97687,               0.995,             0.83538,            0.016405,           0.0024391,           0.0079531,           0.0041362,           0.0041362,           0.0041362
                  79,            0.018708,           0.0057374,            0.010203,             0.89364,             0.98375,               0.995,             0.88116,            0.012684,           0.0022052,           0.0070699,             0.00406,             0.00406,             0.00406
                  80,            0.019002,           0.0052802,             0.00967,             0.98023,                   1,               0.995,             0.91279,            0.010653,           0.0020326,           0.0026707,           0.0039838,           0.0039838,           0.0039838
                  81,            0.018077,           0.0054282,            0.010092,             0.98117,                   1,               0.995,             0.87843,            0.013649,           0.0021701,           0.0025702,           0.0039077,           0.0039077,           0.0039077
                  82,             0.01852,           0.0053795,            0.010261,             0.98118,                   1,               0.995,              0.8979,            0.012444,           0.0022567,           0.0026508,           0.0038315,           0.0038315,           0.0038315
                  83,            0.017668,           0.0051568,           0.0099221,             0.98028,                   1,               0.995,             0.90688,             0.01214,           0.0021161,           0.0025628,           0.0037554,           0.0037554,           0.0037554
                  84,            0.017033,           0.0053612,           0.0097298,             0.98364,                   1,               0.995,             0.88809,            0.011927,           0.0020506,           0.0024774,           0.0036792,           0.0036792,           0.0036792
                  85,            0.017148,           0.0051972,             0.01035,             0.98159,                   1,               0.995,             0.90879,            0.011261,           0.0019625,            0.002399,           0.0036031,           0.0036031,           0.0036031
                  86,            0.017522,           0.0054447,           0.0095932,             0.97978,                   1,               0.995,             0.90497,            0.011713,           0.0019743,           0.0023287,           0.0035269,           0.0035269,           0.0035269
                  87,            0.017143,           0.0052921,           0.0090964,             0.98313,                   1,               0.995,             0.90755,            0.011654,           0.0019522,           0.0022196,           0.0034508,           0.0034508,           0.0034508
                  88,            0.017243,           0.0051818,           0.0094303,             0.98325,             0.99434,               0.995,             0.89697,            0.011275,           0.0018656,           0.0026293,           0.0033746,           0.0033746,           0.0033746
                  89,            0.017429,           0.0051249,           0.0093623,              0.9847,                   1,               0.995,             0.86887,            0.014179,           0.0022296,           0.0023032,           0.0032985,           0.0032985,           0.0032985
                  90,            0.016838,            0.005002,           0.0087956,             0.96538,                   1,               0.995,              0.9029,            0.011373,            0.002074,           0.0027503,           0.0032223,           0.0032223,           0.0032223
                  91,            0.016945,           0.0049164,            0.008838,             0.97964,                   1,               0.995,             0.88559,            0.012861,           0.0020566,           0.0021446,           0.0031462,           0.0031462,           0.0031462
                  92,            0.016553,             0.00509,           0.0086968,             0.97807,                   1,               0.995,             0.93338,            0.010548,           0.0020105,           0.0020872,             0.00307,             0.00307,             0.00307
                  93,             0.01638,           0.0048431,           0.0081211,             0.98044,                   1,               0.995,             0.92157,            0.010063,           0.0019207,           0.0020466,           0.0029938,           0.0029938,           0.0029938
